Nr;Event;Purity;CMM;SSQ;BSS;SilhCoeff;Rand statistic;
16;;0.5948376510288735;0.8981524668043875;1.3237081412998927E8;5.257127035610155E9;0.9244307564145307;0.5068288288288288;
17;;0.6895946965724273;0.911968051462727;4.130738112460987E8;6.674905321130763E9;0.8472630544959039;0.4816736736736737;
18;;0.8174096490967777;0.8942487535206913;1.352110900039289E8;8.200683777379463E9;0.9217388996604692;0.43705305305305303;
19;;0.8035356468200294;0.8891528531066922;1.4079090298249826E8;5.879529811119651E9;0.9232779496284206;0.4487987987987988;
20;;0.7576208873409923;0.8873426985817181;1.5741008841734666E8;7.41858989757631E9;0.9186286997892883;0.46952152152152155;
21;;0.7040668575672261;0.8917535034688894;1.499750363724636E8;6.989451763158117E9;0.9203583859523665;0.4815095095095095;
22;;0.7259749670619235;0.8794761885920224;1.8810279587424093E8;5.234543015271288E9;0.9218390952828859;0.4757877877877878;
23;;0.7079065585979556;0.8795533238550731;1.5506113591457373E8;7.144792709882169E9;0.920695152876474;0.47387387387387386;
24;;0.6999296625360456;0.8700530929899886;1.553761468752982E8;6.315799453675472E9;0.9287608533968894;0.4831051051051051;
25;;0.674305566563631;0.8873694845608397;1.6282656743327504E8;6.009661659953195E9;0.9208145298811121;0.4887887887887888;
26;;0.6554953839581278;0.8831569633932792;1.7242764191384006E8;6.055447050255709E9;0.9212928858510762;0.48615415415415414;
27;;0.632262359870573;0.8711231926059897;1.6587359427743676E8;6.443950968825336E9;0.9195311946530353;0.5045805805805805;
28;;0.6709531854145205;0.8831547833271024;1.6350395666714466E8;6.544193522591285E9;0.9207093489061174;0.48384984984984986;
29;;0.6740918855907874;0.8848701966691761;1.463113534423674E8;4.982886856688726E9;0.9267290493175104;0.4849389389389389;
30;;0.5934167708249567;0.8834595099016458;1.6937641381996787E8;6.49741831859947E9;0.9144516476569048;0.5043363363363363;
31;;0.6374980946943193;0.8851625786980651;1.4784345692105705E8;6.029044387255127E9;0.921749690662073;0.48837037037037034;
32;;0.6923789660400078;0.892818971873813;1.36846674159807E8;7.136405086971732E9;0.9159796581824463;0.48206206206206204;
33;;0.656069035497472;0.881188741232739;1.5337047712919572E8;6.34573143425078E9;0.9271129615288387;0.48743943943943946;
34;;0.6675109489593891;0.8847721464429009;1.3245430363918807E8;6.213253338452589E9;0.9230979824427906;0.48334734734734736;
35;;0.8242282554047261;0.9144148195853399;5.8983311590957E8;6.1345538118630295E9;0.8466155325443461;0.4467987987987988;
36;;0.8349992676334086;0.8907575971899206;1.3762372932882544E8;8.039673363981421E9;0.9241249976849446;0.4307927927927928;
