Nr;Event;F1-P;F1-R;Purity;CMM;CMM Basic;CMM Missed;CMM Misplaced;CMM Noise;CA Seperability;CA Noise;CA Model;SSQ;BSS;BSS-GT;BSS-Ratio;SilhCoeff;van Dongen;Rand statistic;
17;;0.04178143374660844;0.06042154566744731;0.8402159244264507;0.7717565949134835;0.06699999999999995;0.7717565949134835;1.0;1.0;0.5;1.0;0.019000000000000017;29.905837622078455;79.36350519371679;2.352873397443081;33.730461349923395;0.711441277575984;0.7635;0.5053773773773774;
18;;0.063003366816114;0.09526551220160326;0.8470019342359768;0.7823473429590875;0.12;0.7823473429590875;1.0;1.0;0.5;1.0;0.11399999999999999;28.896899378015338;161.64874004291443;6.340241812905269;25.495674268114804;0.5990040617219261;0.7715;0.5273913913913914;
19;;0.05322414033061015;0.0746435376831592;0.8156043956043956;0.7782307926127034;0.08199999999999996;0.7782307926127034;1.0;1.0;0.5;1.0;0.04500000000000004;32.3100024842753;147.7392548934506;2.276891083312517;64.88639530289403;0.7216341259486538;0.7315;0.5013913913913914;
20;;0.06630968012990067;0.13230779749085564;0.809252386002121;0.792204207217155;0.11599999999999999;0.792204207217155;1.0;1.0;0.5;1.0;0.03600000000000003;35.9019134643003;107.60727556824475;1.457702713048723;73.81976764191425;0.6672373317429536;0.7295;0.5021721721721721;
21;;0.05993955526313346;0.10546757164404223;0.8046567505720823;0.8063677610691805;0.14700000000000002;0.8063677610691805;1.0;1.0;0.5;1.0;0.04800000000000004;36.35601529199494;139.22235196472548;1.9568434753059945;71.14639148282163;0.6797424094691985;0.7895;0.5371771771771772;
22;;0.066952988770333;0.08150854195766627;0.8172222222222223;0.803640891552945;0.11399999999999999;0.803640891552945;1.0;1.0;0.5;1.0;0.04500000000000004;37.8078005388048;113.82348310157184;5.126112069946203;22.204641948603825;0.7501816333588511;0.7295;0.49473873873873875;
23;;0.055904403853280216;0.08675041391035777;0.6892640692640694;0.7691544038608754;0.11399999999999999;0.7691544038608754;1.0;1.0;0.5;1.0;0.051000000000000045;36.52740777202912;145.27100061499848;9.664562687887706;15.031306154913981;0.668502409133133;0.7455;0.5042082082082082;
24;;0.06450996023173242;0.0961183769282361;0.7248935588221302;0.7931323387598276;0.123;0.7931323387598276;1.0;1.0;0.5;1.0;0.04400000000000004;35.065644631475735;89.25637226052913;1.3209872817212713;67.56792703123257;0.576190534305639;0.7555;0.5203943943943944;
25;;0.0762381779227844;0.141883468557765;0.7198547215496369;0.7770267803588685;0.126;0.7770267803588685;1.0;1.0;0.5;1.0;0.03700000000000003;30.47999942437076;143.000838889381;2.555677111492491;55.95418851870136;0.7104920141911031;0.7385;0.5123263263263264;
26;;0.07309978581749715;0.10244248677463837;0.8115738667462805;0.7995874629490168;0.11499999999999999;0.7995874629490168;1.0;1.0;0.5;1.0;0.006000000000000005;24.198584426645873;116.55483806858095;0.7784491716888471;149.72697294508643;0.6827557057847864;0.7555;0.5161461461461462;
27;;0.07367989979981616;0.10629188384214446;0.7376462047269501;0.8068717986367855;0.14800000000000002;0.8068717986367855;1.0;1.0;0.5;1.0;0.14200000000000002;40.01966777445222;381.5657592181842;63.99251127560256;5.962662686808135;0.616608191511068;0.7285;0.5102102102102102;
